,RMSE_1,RMSE_2,RMSE_3,RMSE_4,RMSE_5,MEAN_RMSE
xgb_5_2_0.05,1443.336662067925,1403.1421452438203,1226.656226164847,1362.1594966729047,1278.348678409946,1342.7286417118885
xgb_5_2_0.1,1164.354940889151,1118.583086488477,927.9830287383911,1060.928566894594,1019.9373329747052,1058.3573911970636
xgb_5_2_0.2,753.0669052350167,703.498090694999,537.5938932903596,667.0348850078601,553.7618915468244,642.9911331550119
xgb_5_2_0.5,398.4872640060631,317.17479141956795,324.46337664002016,397.6486934357408,251.23464573784287,337.801754247847
xgb_5_3_0.05,1453.727794951035,1404.0932478186642,1225.4398299713985,1359.6467147855828,1283.9338450433893,1345.368286514014
xgb_5_3_0.1,1175.9530867836636,1119.4401843729127,925.8932111404591,1075.1265333005595,1023.6644588110997,1064.0154948817387
xgb_5_3_0.2,746.9802744772289,728.7442203332055,539.1735048432912,658.8295538578171,601.7549179778939,655.0964942978874
xgb_5_3_0.5,511.54254148075563,360.541409148651,353.8099854974517,372.4381119783216,299.3525377853894,379.53691717811387
xgb_5_5_0.05,1456.7345913968995,1404.0932478186642,1225.2457527425474,1359.6467147855828,1284.8924868490155,1346.122558718542
xgb_5_5_0.1,1204.478328576346,1118.8858616708462,925.5669727204598,1074.7578709073875,1024.4642693247504,1069.630660639958
xgb_5_5_0.2,775.1054761862069,731.8224273071484,539.4763923591646,665.1644185634179,613.4526638791049,665.0042756590085
xgb_5_5_0.5,578.9400848960488,317.3097550643219,347.3691069667249,389.9450674868478,263.7687130969332,379.46654550217534
xgb_5_7_0.05,1456.7345913968995,1404.0932478186642,1225.2457527425474,1359.6467147855828,1284.8924868490155,1346.122558718542
xgb_5_7_0.1,1208.7081043992305,1118.8858616708462,925.5669727204598,1074.7578709073875,1024.4642693247504,1070.476615804535
xgb_5_7_0.2,774.606853266584,729.7085913285898,539.4763923591646,664.5727892775734,613.1361537498883,664.3001559963601
xgb_5_7_0.5,546.8913210933955,402.04582118990317,348.99670494013793,406.9837262410614,284.98725361821005,397.98096541654166
xgb_10_2_0.05,1165.4059968711042,1133.399720831038,939.532792337838,1079.4217988492173,1001.3338520398539,1063.8188321858102
xgb_10_2_0.1,770.9688197161622,740.490613180787,560.0067727432297,706.376237264283,659.7980456471837,687.5280977103291
xgb_10_2_0.2,421.91329494645277,385.82444891325576,315.3345382122226,396.45024897923895,303.34569186541586,364.57364458331716
xgb_10_2_0.5,395.5957684716822,304.30770226621917,358.830284137278,401.0936583719496,269.8588373233174,345.93725011408924
xgb_10_3_0.05,1187.0568723385884,1130.694057337196,939.2996383832063,1088.6369881010858,1020.7275065109089,1073.283012534197
xgb_10_3_0.1,806.7334716507892,743.2706850699745,557.6026306308003,714.2679721185655,665.30999774036,697.4369514420979
xgb_10_3_0.2,439.1835117867322,401.7970834886597,328.3861942925303,399.2803495509028,345.5568243787231,382.8407926995097
xgb_10_3_0.5,497.24977169378167,325.49190374464735,365.3977308967058,370.74996810434766,302.23148747211025,372.2241723823185
xgb_10_5_0.05,1203.46987907688,1132.9241159845799,939.2052845437322,1082.4104561173356,1020.3739481577164,1075.676736776049
xgb_10_5_0.1,836.383656424142,757.0329594906284,577.0468927067445,712.2632288068978,694.5800675621335,715.4613609981093
xgb_10_5_0.2,478.54059715828134,422.9138161210969,324.3529978865127,397.11181116419283,347.3991677720751,394.0636780204318
xgb_10_5_0.5,547.7439774677358,275.3254343122819,361.5186357183207,374.26063467279647,273.90385096197565,366.5505066266221
xgb_10_7_0.05,1203.3479729942335,1132.9241159845799,939.2052845437322,1082.4104561173356,1020.3739481577164,1075.6523555595195
xgb_10_7_0.1,833.6729362500951,757.0329594906284,577.0468927067445,713.0149879562434,693.5937514228419,714.8723055653106
xgb_10_7_0.2,508.2170346264329,417.4324022571308,323.80442691313385,404.1218003423609,332.5476630807313,397.224665443958
xgb_10_7_0.5,522.3641096764304,356.93154834903436,366.6059967959668,381.61481213275,291.6766123963146,383.8386158700992
xgb_25_2_0.05,653.0002168604134,629.988910426892,454.8871457235627,599.0341712700415,527.986598643666,572.9794085849151
xgb_25_2_0.1,377.6422286723288,329.27319558874336,305.2544826674879,386.7077828457652,276.0588895670606,334.98731586827716
xgb_25_2_0.2,315.1957948814498,246.07545922847302,348.46746004225423,351.46165831109755,266.4204260959884,305.5241597118526
xgb_25_2_0.5,408.6899398297509,313.8937505353093,359.4188221249072,416.84608870464166,269.115983246989,353.5929168883196
xgb_25_3_0.05,678.7142522512083,631.9351122863156,454.7948101297624,596.7125748912896,561.4232360287812,584.7159971174714
xgb_25_3_0.1,402.97324936715455,335.6817373327029,299.9386995293742,382.10860361242254,274.1197921996411,338.96441640825907
xgb_25_3_0.2,323.5087035647812,257.23307440977027,363.87653001374116,365.4659335358034,305.68022590578715,323.1528934859766
xgb_25_3_0.5,495.67657625706306,322.64373611315386,380.2290510533324,377.05352033617083,308.4166251335731,376.80390177865866
xgb_25_5_0.05,718.4440942880102,652.5584723820585,452.5989998663351,602.9785251763608,573.4885612998717,600.0137306025272
xgb_25_5_0.1,445.5159799591516,345.89576816504746,313.2852413283652,389.0241173066309,319.24222179145795,362.5926657101306
xgb_25_5_0.2,357.2109222694039,280.3682116175939,376.78802965330345,335.07558645045816,301.1838286371408,330.12531572558004
xgb_25_5_0.5,544.5815816529108,272.2503319030763,364.3794678946478,372.7198275489432,276.44180928559604,366.0746036570348
xgb_25_7_0.05,720.0504347342509,653.3190219929589,460.7449933436621,604.4322892971695,575.6674502201405,602.8428379176364
xgb_25_7_0.1,436.44021241141155,351.8874832984719,312.54940804536625,397.73354975506624,318.1071076103106,363.3435522241253
xgb_25_7_0.2,378.4867494470634,277.4566607086835,362.4009005321205,346.77794858040625,316.29005700940604,336.2824632555359
xgb_25_7_0.5,515.0435347537725,354.87141783626475,369.72867129748295,381.3491039587982,292.2785309456808,382.6542517583999
