,RMSE_1,RMSE_2,RMSE_3,RMSE_4,RMSE_5,MEAN_RMSE
gb_5_2_0.05,255.99320641445559,257.0442451728671,324.71886463380923,361.54113249431555,277.7516713901759,295.4098240211247
gb_5_2_0.1,238.03845530374002,256.2835698603732,322.547744656264,359.05806491166726,258.98085831661325,286.9817386097315
gb_5_2_0.2,212.04588098950398,248.04825953367995,318.77885500446996,340.49684176491957,232.1360229630969,270.3011720511341
gb_5_2_0.5,243.23116296772156,265.2208791831859,322.7985562824662,340.5866345305825,277.40551052188624,289.84854869716844
gb_5_3_0.05,251.5989593825927,249.36696636111375,324.3236967387585,367.2286919350495,277.1171294492443,293.9270887733517
gb_5_3_0.1,242.37060023542017,246.4955960447059,321.71269309579344,357.1740520987198,255.12934093503517,284.5764564819349
gb_5_3_0.2,211.55815881947123,255.05534035253453,322.7374210382215,350.50471804611647,248.84593469828795,277.74031459092635
gb_5_3_0.5,241.17758202693324,234.9995198822383,346.0049816432976,383.54979753953194,263.90607576401015,293.92759137120225
gb_5_5_0.05,251.5989593825927,249.36696636111375,324.3236967387585,367.2286919350495,277.1171294492443,293.9270887733517
gb_5_5_0.1,242.37060023542017,246.4955960447059,321.9743337672303,357.1740520987198,255.12934093503517,284.6287846162223
gb_5_5_0.2,209.59963345364537,255.05534035253453,324.5886678677986,350.50471804611647,248.84593469828795,277.7188588836766
gb_5_5_0.5,223.19418872044722,234.9995198822383,346.8616854564315,397.61189841012293,249.41264432357764,290.4159873585635
gb_5_7_0.05,251.5989593825927,249.36696636111375,324.3236967387585,367.2286919350495,277.1171294492443,293.9270887733517
gb_5_7_0.1,242.37060023542017,246.4955960447059,321.9743337672303,357.1740520987198,255.12934093503517,284.6287846162223
gb_5_7_0.2,209.59963345364537,255.05534035253453,324.5886678677986,350.50471804611647,248.84593469828795,277.7188588836766
gb_5_7_0.5,223.19418872044722,234.9995198822383,346.8616854564315,397.61189841012293,249.41264432357764,290.4159873585635
gb_10_2_0.05,240.51492539912502,253.45510048507876,323.60698119976865,353.82692837156344,258.31693018036555,285.94417312718025
