,RMSE_1,RMSE_2,RMSE_3,RMSE_4,RMSE_5,MEAN_RMSE
rf_5_2,250.2388235420935,268.72029001494406,303.0399046754247,355.5387176918255,271.2478068019039,289.75710854523834
rf_5_3,251.443223391131,287.7527278671129,299.2576231454261,355.6118554313297,283.252105861005,295.46350713920094
rf_5_5,255.73752755439796,295.1763708414317,300.332368873249,338.8114147171127,255.2980729947016,289.0711509961786
rf_5_7,254.714871431428,295.3375967464733,298.28697639655496,338.0040550821983,280.4533491274681,293.35936975682455
rf_5_10,254.714871431428,295.3375967464733,298.5101148886932,338.0040550821983,280.47099653718726,293.40752693719594
rf_10_2,236.37694508850905,261.9838996407614,309.14109768603896,350.0308204081631,260.52313548194263,283.61117966108304
rf_10_3,239.7147868023822,276.2800354832777,311.6079428176766,354.82467289223194,261.92465334529174,288.87041826817205
rf_10_5,247.2447313801583,276.8203573020442,312.2570607293373,342.4311173113702,253.4485953435669,286.4403724132954
rf_10_7,244.08215013030136,276.549936077978,311.0750816379437,344.67377967522805,271.6081783152787,289.59782516734595
rf_10_10,244.08215013030136,276.549936077978,311.20882669962504,344.67377967522805,271.5954131081009,289.6220211382466
rf_25_2,242.48639465162043,270.7102004282823,318.0124134972187,351.73747143383423,273.4009147853446,291.2694789592601
rf_25_3,243.51118578804193,277.9045006314175,317.0165502159208,352.8557093635012,266.6779136973014,291.5931719392366
rf_25_5,247.59579254637555,280.65554545769834,315.5953875434413,351.07338454204046,256.90346041049594,290.3647141000103
rf_25_7,244.55660793308255,279.38034532423836,312.53357727823715,350.8632971899759,266.0714985442318,290.68106525395314
rf_25_10,244.55660793308255,279.271656292549,312.5596044728801,350.8959983980048,267.5463716117221,290.9660477416477
rf_50_2,227.84454142891954,270.4015665108498,319.44749446119783,350.69788790673203,262.0248255460528,286.08326317075046
rf_50_3,224.2061496737452,273.0939159380666,322.17764798271537,350.2273036376074,257.0297913038461,285.34696170719616
rf_50_5,232.4869178287814,273.60465682757683,321.54844620595725,348.0265189714737,257.3769167269674,286.60869131215134
rf_50_7,230.38735212307515,274.45691195407636,318.79592038938176,348.1744815074634,259.46347968400255,286.25562913159985
rf_50_10,230.55614551851139,274.1128904089685,319.0107028574277,348.205705762283,260.50004828455553,286.47709856634924
rf_100_2,230.4438451058877,269.4247113877158,321.90508162632847,347.27632673534464,262.2896578792255,286.2679245469004
rf_100_3,225.77222732792765,269.9500623059081,321.5252792498656,346.6044244290403,261.02023408825045,284.9744454801984
rf_100_5,231.25820694789016,270.4732159127415,323.1942600701203,342.9400253559786,258.17022341588284,285.20718634052275
rf_100_7,230.7418404789401,273.03032978244926,321.5430847038403,344.8315963184691,259.65776187842187,285.96092263242406
rf_100_10,230.48401317477038,272.9475725777475,321.6918478053057,344.6997548274305,259.6011443831632,285.8848665536835
rf_250_2,228.45998910980035,262.42765907472653,323.859366889195,348.7035311061518,262.3891209428198,285.16793342453866
rf_250_3,225.66908546913854,264.7675038191133,323.19331058755085,348.98462116856933,260.4727960880978,284.61746342649394
rf_250_5,227.72966126132877,265.7729661919081,323.77866617271536,348.1405727959093,260.0013862584976,285.0846505360718
rf_250_7,228.4338689943363,266.4475734444629,322.2669200180248,348.9428634081712,259.9275389374829,285.2037529604956
rf_250_10,228.08193539379286,266.3928142884484,322.3226506530056,348.6590724406785,259.6278894314718,285.01687244147945
rf_500_2,226.6201716022315,261.10991884963045,322.72600572536027,346.38603240375966,255.66304576215222,282.5010348686268
rf_500_3,225.1843044182733,262.37797021181825,321.56933721267734,346.2176359981508,253.83696278467025,281.837242125118
rf_500_5,226.23591996055825,262.7277776311135,320.33325509729923,345.79081333271836,255.52013989967966,282.1215811842738
rf_500_7,226.22388385068223,263.3868074000323,319.86283895662456,346.6165703341874,254.5314723383648,282.12431457597825
rf_500_10,226.18724522277412,263.2459368331136,320.1929328392143,346.32169859011066,253.9993306086336,281.9894288187693
rf_1000_2,227.51825273276742,261.1581628595632,322.96256699514976,345.58506274381676,255.9433354070465,282.6334761476687
rf_1000_3,226.60397577489772,262.73437949944235,321.82626809568933,345.0569069527901,256.03735886997805,282.4517778385595
rf_1000_5,227.5669424259849,263.28696289792475,321.6664245768695,344.7837892017594,256.816299353269,282.8240836911615
rf_1000_7,227.0870469759938,263.5881595500161,321.0688760316508,345.465291923259,256.1017894459285,282.6622327853696
rf_1000_10,227.16106108679264,263.61945910391097,321.2682238340005,345.4830737814553,256.1039247870301,282.7271485186379
